Year,Component,AmbientCondPattern,EmConcept,EFA,EFA_WTW
2019,HC,"TØ,>12h,0-1km",flex-fuel E85,0.200829178,
2019,HC,"TØ,>12h,0-1km",Plug-in Hybrid petrol/electric,0.595124841,
2019,HC,"TØ,0-1h,1-2km",petrol (4S),0.682031512,
2019,HC,"TØ,0-1h,1-2km",diesel,0.036817789,
2019,HC,"TØ,0-1h,1-2km",electricity,0,
2019,HC,"TØ,0-1h,1-2km",bifuel CNG/petrol,0.02645877,
2019,HC,"TØ,0-1h,1-2km",flex-fuel E85,0.03653324,
2019,HC,"TØ,0-1h,1-2km",Plug-in Hybrid petrol/electric,0.108255871,
2019,HC,"TØ,1-2h,1-2km",petrol (4S),1.718388796,
2019,HC,"TØ,1-2h,1-2km",diesel,0.091894299,
2019,HC,"TØ,1-2h,1-2km",electricity,0,
2019,HC,"TØ,1-2h,1-2km",bifuel CNG/petrol,0.066851735,
2019,HC,"TØ,1-2h,1-2km",flex-fuel E85,0.092306279,
2019,HC,"TØ,1-2h,1-2km",Plug-in Hybrid petrol/electric,0.27352342,
2019,HC,"TØ,2-3h,1-2km",petrol (4S),2.176947594,
2019,HC,"TØ,2-3h,1-2km",diesel,0.113425151,
2019,HC,"TØ,2-3h,1-2km",electricity,0,
2019,HC,"TØ,2-3h,1-2km",bifuel CNG/petrol,0.084814191,
2019,HC,"TØ,2-3h,1-2km",flex-fuel E85,0.117108151,
2019,HC,"TØ,2-3h,1-2km",Plug-in Hybrid petrol/electric,0.347016692,
2019,HC,"TØ,3-4h,1-2km",petrol (4S),2.488708019,
2019,HC,"TØ,3-4h,1-2km",diesel,0.128527179,
2019,HC,"TØ,3-4h,1-2km",electricity,0,
2019,HC,"TØ,3-4h,1-2km",bifuel CNG/petrol,0.096991532,
2019,HC,"TØ,3-4h,1-2km",flex-fuel E85,0.133922145,
2019,HC,"TØ,3-4h,1-2km",Plug-in Hybrid petrol/electric,0.396840155,
2019,HC,"TØ,4-5h,1-2km",petrol (4S),2.712468863,
2019,HC,"TØ,4-5h,1-2km",diesel,0.139447168,
2019,HC,"TØ,4-5h,1-2km",electricity,0,
2019,HC,"TØ,4-5h,1-2km",bifuel CNG/petrol,0.105728574,
2019,HC,"TØ,4-5h,1-2km",flex-fuel E85,0.145985901,
2019,HC,"TØ,4-5h,1-2km",Plug-in Hybrid petrol/electric,0.432587743,
2019,HC,"TØ,5-6h,1-2km",petrol (4S),2.848357677,
2019,HC,"TØ,5-6h,1-2km",diesel,0.14643316,
2019,HC,"TØ,5-6h,1-2km",electricity,0,
2019,HC,"TØ,5-6h,1-2km",bifuel CNG/petrol,0.111025341,
2019,HC,"TØ,5-6h,1-2km",flex-fuel E85,0.153299466,
2019,HC,"TØ,5-6h,1-2km",Plug-in Hybrid petrol/electric,0.454259366,
2019,HC,"TØ,6-7h,1-2km",petrol (4S),2.984245539,
2019,HC,"TØ,6-7h,1-2km",diesel,0.153419137,
2019,HC,"TØ,6-7h,1-2km",electricity,0,
2019,HC,"TØ,6-7h,1-2km",bifuel CNG/petrol,0.116322093,
2019,HC,"TØ,6-7h,1-2km",flex-fuel E85,0.160613015,
2019,HC,"TØ,6-7h,1-2km",Plug-in Hybrid petrol/electric,0.475931019,
2019,HC,"TØ,7-8h,1-2km",petrol (4S),3.120134115,
2019,HC,"TØ,7-8h,1-2km",diesel,0.160405114,
2019,HC,"TØ,7-8h,1-2km",electricity,0,
2019,HC,"TØ,7-8h,1-2km",bifuel CNG/petrol,0.121618845,
2019,HC,"TØ,7-8h,1-2km",flex-fuel E85,0.167926565,
2019,HC,"TØ,7-8h,1-2km",Plug-in Hybrid petrol/electric,0.497602642,
2019,HC,"TØ,8-9h,1-2km",petrol (4S),3.256022692,
2019,HC,"TØ,8-9h,1-2km",diesel,0.167391092,
2019,HC,"TØ,8-9h,1-2km",electricity,0,
2019,HC,"TØ,8-9h,1-2km",bifuel CNG/petrol,0.126915604,
2019,HC,"TØ,8-9h,1-2km",flex-fuel E85,0.175240129,
2019,HC,"TØ,8-9h,1-2km",Plug-in Hybrid petrol/electric,0.519274294,
2019,HC,"TØ,9-10h,1-2km",petrol (4S),3.391910553,
2019,HC,"TØ,9-10h,1-2km",diesel,0.174377054,
2019,HC,"TØ,9-10h,1-2km",electricity,0,
2019,HC,"TØ,9-10h,1-2km",bifuel CNG/petrol,0.132212356,
2019,HC,"TØ,9-10h,1-2km",flex-fuel E85,0.182553679,
2019,HC,"TØ,9-10h,1-2km",Plug-in Hybrid petrol/electric,0.540945888,
2019,HC,"TØ,10-11h,1-2km",petrol (4S),3.527799129,
2019,HC,"TØ,10-11h,1-2km",diesel,0.181363031,
2019,HC,"TØ,10-11h,1-2km",electricity,0,
2019,HC,"TØ,10-11h,1-2km",bifuel CNG/petrol,0.137509108,
2019,HC,"TØ,10-11h,1-2km",flex-fuel E85,0.189867228,
2019,HC,"TØ,10-11h,1-2km",Plug-in Hybrid petrol/electric,0.5626176,
2019,HC,"TØ,11-12h,1-2km",petrol (4S),3.663687468,
2019,HC,"TØ,11-12h,1-2km",diesel,0.188349023,
2019,HC,"TØ,11-12h,1-2km",electricity,0,
2019,HC,"TØ,11-12h,1-2km",bifuel CNG/petrol,0.142805874,
2019,HC,"TØ,11-12h,1-2km",flex-fuel E85,0.197180778,
2019,HC,"TØ,11-12h,1-2km",Plug-in Hybrid petrol/electric,0.584289193,
2019,HC,"TØ,>12h,1-2km",petrol (4S),3.731631756,
2019,HC,"TØ,>12h,1-2km",diesel,0.19184199,
2019,HC,"TØ,>12h,1-2km",electricity,0,
2019,HC,"TØ,>12h,1-2km",bifuel CNG/petrol,0.145454243,
2019,HC,"TØ,>12h,1-2km",flex-fuel E85,0.200837567,
2019,HC,"TØ,>12h,1-2km",Plug-in Hybrid petrol/electric,0.59512502,
2019,HC,"T+20°C,0-1h,0-1km",petrol (4S),0.272609353,
2019,HC,"T+20°C,0-1h,0-1km",diesel,0.019272545,
2019,HC,"T+20°C,0-1h,0-1km",electricity,0,
2019,HC,"T+20°C,0-1h,0-1km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,0-1km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,0-1km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,0-1h,1-2km",petrol (4S),0.275509775,
2019,HC,"T+20°C,0-1h,1-2km",diesel,0.026201058,
2019,HC,"T+20°C,0-1h,1-2km",electricity,0,
2019,HC,"T+20°C,0-1h,1-2km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,1-2km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,1-2km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,0-1h,2-3km",petrol (4S),0.275509775,
2019,HC,"T+20°C,0-1h,2-3km",diesel,0.026242688,
2019,HC,"T+20°C,0-1h,2-3km",electricity,0,
2019,HC,"T+20°C,0-1h,2-3km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,2-3km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,2-3km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,0-1h,3-4km",petrol (4S),0.275509775,
2019,HC,"T+20°C,0-1h,3-4km",diesel,0.026243437,
2019,HC,"T+20°C,0-1h,3-4km",electricity,0,
2019,HC,"T+20°C,0-1h,3-4km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,3-4km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,3-4km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,0-1h,4-5km",petrol (4S),0.275509775,
2019,HC,"T+20°C,0-1h,4-5km",diesel,0.026243437,
2019,HC,"T+20°C,0-1h,4-5km",electricity,0,
2019,HC,"T+20°C,0-1h,4-5km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,4-5km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,4-5km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,0-1h,>20km",petrol (4S),0.275509775,
2019,HC,"T+20°C,0-1h,>20km",diesel,0.026243437,
2019,HC,"T+20°C,0-1h,>20km",electricity,0,
2019,HC,"T+20°C,0-1h,>20km",bifuel CNG/petrol,0.010463428,
2019,HC,"T+20°C,0-1h,>20km",flex-fuel E85,0.014076166,
2019,HC,"T+20°C,0-1h,>20km",Plug-in Hybrid petrol/electric,0.043438211,
2019,HC,"T+20°C,1-2h,0-1km",petrol (4S),0.682613075,
2019,HC,"T+20°C,1-2h,0-1km",diesel,0.03334761,
2019,HC,"T+20°C,1-2h,0-1km",electricity,0,
2019,HC,"T+20°C,1-2h,0-1km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,0-1km",flex-fuel E85,0.035565373,
2019,HC,"T+20°C,1-2h,0-1km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,1-2h,1-2km",petrol (4S),0.695453405,
2019,HC,"T+20°C,1-2h,1-2km",diesel,0.064966872,
2019,HC,"T+20°C,1-2h,1-2km",electricity,0,
2019,HC,"T+20°C,1-2h,1-2km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,1-2km",flex-fuel E85,0.035565373,
2019,HC,"T+20°C,1-2h,1-2km",Plug-in Hybrid petrol/electric,0.109752648,
2019,HC,"T+20°C,1-2h,2-3km",petrol (4S),0.696113408,
2019,HC,"T+20°C,1-2h,2-3km",diesel,0.066255063,
2019,HC,"T+20°C,1-2h,2-3km",electricity,0,
2019,HC,"T+20°C,1-2h,2-3km",bifuel CNG/petrol,0.026437294,
2019,HC,"T+20°C,1-2h,2-3km",flex-fuel E85,0.035565373,
