scenario,municipality,code,cartype,cars_in_use
conservative,Nynäshamn,192,Gasoline,9656.097493
conservative,Nykvarn,140,Gasoline,4589.214311
conservative,Norrtälje,188,Gasoline,26965.94937
conservative,Danderyd,162,Diesel,3571.159226
conservative,Solna,184,Diesel,10204.57575
conservative,Nacka,182,Diesel,11980.64755
conservative,Stockholm,180,Diesel,86946.47366
conservative,Sollentuna,163,Diesel,8052.652149
conservative,Täby,160,Diesel,6394.933957
conservative,Ekerö,125,Diesel,2508.914033
conservative,Lidingö,186,Diesel,3587.38908
conservative,Vaxholm,187,Diesel,1181.574438
conservative,Österåker,117,Diesel,4574.94901
conservative,Vallentuna,115,Diesel,3526.454788
conservative,Värmdö,120,Diesel,3846.831726
conservative,Södertälje,181,Diesel,11282.45125
conservative,Uppl. Väsby,114,Diesel,4530.425072
conservative,Tyresö,138,Diesel,3474.301333
conservative,Sundbyberg,183,Diesel,2803.359363
conservative,Sigtuna,191,Diesel,4978.290539
conservative,Järfälla,123,Diesel,7429.016468
conservative,Huddinge,126,Diesel,8527.918639
conservative,Uppl. Bro,139,Diesel,3289.791894
conservative,Haninge,136,Diesel,8082.44274
conservative,Salem,128,Diesel,1284.748439
conservative,Botkyrka,127,Diesel,6947.505091
conservative,Nynäshamn,192,Diesel,2748.762928
conservative,Nykvarn,140,Diesel,1221.314858
conservative,Norrtälje,188,Diesel,7646.207574
conservative,Danderyd,162,PHEV,3850.223731
conservative,Solna,184,PHEV,15990.03264
conservative,Nacka,182,PHEV,12374.04109
conservative,Stockholm,180,PHEV,72047.59478
conservative,Sollentuna,163,PHEV,6689.57483
conservative,Täby,160,PHEV,2770.654255
conservative,Ekerö,125,PHEV,839.3744519
conservative,Lidingö,186,PHEV,1736.714848
conservative,Vaxholm,187,PHEV,421.7364968
conservative,Österåker,117,PHEV,1391.316618
conservative,Vallentuna,115,PHEV,1037.515376
conservative,Värmdö,120,PHEV,1425.070482
conservative,Södertälje,181,PHEV,6204.670745
conservative,Uppl. Väsby,114,PHEV,1166.769208
conservative,Tyresö,138,PHEV,1088.811073
conservative,Sundbyberg,183,PHEV,3752.057151
conservative,Sigtuna,191,PHEV,1329.22967
conservative,Järfälla,123,PHEV,1535.973371
conservative,Huddinge,126,PHEV,2492.466906
conservative,Uppl. Bro,139,PHEV,545.3765862
conservative,Haninge,136,PHEV,1541.36345
conservative,Salem,128,PHEV,263.5691139
conservative,Botkyrka,127,PHEV,1265.679407
conservative,Nynäshamn,192,PHEV,474.7533523
conservative,Nykvarn,140,PHEV,127.0222582
conservative,Norrtälje,188,PHEV,1043.417594
conservative,Danderyd,162,EV,1906.828437
conservative,Solna,184,EV,3983.287584
conservative,Nacka,182,EV,4535.672719
conservative,Stockholm,180,EV,31356.58123
conservative,Sollentuna,163,EV,2770.371471
conservative,Täby,160,EV,2545.30085
conservative,Ekerö,125,EV,986.7645954
conservative,Lidingö,186,EV,1371.206036
conservative,Vaxholm,187,EV,394.8962797
conservative,Österåker,117,EV,1314.270101
conservative,Vallentuna,115,EV,908.12054
conservative,Värmdö,120,EV,977.3943009
conservative,Södertälje,181,EV,2678.247589
conservative,Uppl. Väsby,114,EV,963.1630925
conservative,Tyresö,138,EV,784.0849678
conservative,Sundbyberg,183,EV,663.5002774
conservative,Sigtuna,191,EV,893.1495072
conservative,Järfälla,123,EV,1389.381847
conservative,Huddinge,126,EV,1517.066924
conservative,Uppl. Bro,139,EV,530.4776737
conservative,Haninge,136,EV,1258.180684
conservative,Salem,128,EV,189.2399593
conservative,Botkyrka,127,EV,998.5084027
conservative,Nynäshamn,192,EV,317.1422942
conservative,Nykvarn,140,EV,146.2356008
conservative,Norrtälje,188,EV,807.85454
optimistic_PHEV,Danderyd,162,Gasoline,2516.392733
optimistic_PHEV,Solna,184,Gasoline,4482.635838
optimistic_PHEV,Nacka,182,Gasoline,10200.63054
optimistic_PHEV,Stockholm,180,Gasoline,76148.21617
optimistic_PHEV,Sollentuna,163,Gasoline,8141.187759
optimistic_PHEV,Täby,160,Gasoline,11246.6224
optimistic_PHEV,Ekerö,125,Gasoline,5076.660728
optimistic_PHEV,Lidingö,186,Gasoline,6448.528149
optimistic_PHEV,Vaxholm,187,Gasoline,1904.026692
optimistic_PHEV,Österåker,117,Gasoline,9468.505893
optimistic_PHEV,Vallentuna,115,Gasoline,7144.244358
optimistic_PHEV,Värmdö,120,Gasoline,8327.447821
optimistic_PHEV,Södertälje,181,Gasoline,18433.62158
optimistic_PHEV,Uppl. Väsby,114,Gasoline,10872.93858
optimistic_PHEV,Tyresö,138,Gasoline,9121.66125
optimistic_PHEV,Sundbyberg,183,Gasoline,5384.842443
optimistic_PHEV,Sigtuna,191,Gasoline,10604.63443
optimistic_PHEV,Järfälla,123,Gasoline,19463.50477
optimistic_PHEV,Huddinge,126,Gasoline,21243.68173
optimistic_PHEV,Uppl. Bro,139,Gasoline,7729.871012
optimistic_PHEV,Haninge,136,Gasoline,21606.81731
optimistic_PHEV,Salem,128,Gasoline,3439.242176
optimistic_PHEV,Botkyrka,127,Gasoline,19706.84177
optimistic_PHEV,Nynäshamn,192,Gasoline,6687.683541
optimistic_PHEV,Nykvarn,140,Gasoline,3418.810872
optimistic_PHEV,Norrtälje,188,Gasoline,19438.39554
optimistic_PHEV,Danderyd,162,Diesel,1649.605265
optimistic_PHEV,Solna,184,Diesel,3918.998363
optimistic_PHEV,Nacka,182,Diesel,6000.559122
optimistic_PHEV,Stockholm,180,Diesel,46536.71103
optimistic_PHEV,Sollentuna,163,Diesel,4478.438572
optimistic_PHEV,Täby,160,Diesel,4624.495897
optimistic_PHEV,Ekerö,125,Diesel,1957.762046
optimistic_PHEV,Lidingö,186,Diesel,2568.714777
optimistic_PHEV,Vaxholm,187,Diesel,881.5626259
optimistic_PHEV,Österåker,117,Diesel,3771.754299
optimistic_PHEV,Vallentuna,115,Diesel,2940.069469
optimistic_PHEV,Värmdö,120,Diesel,3140.581274
optimistic_PHEV,Södertälje,181,Diesel,8008.643015
optimistic_PHEV,Uppl. Väsby,114,Diesel,4068.488311
optimistic_PHEV,Tyresö,138,Diesel,3074.959837
optimistic_PHEV,Sundbyberg,183,Diesel,1656.933235
optimistic_PHEV,Sigtuna,191,Diesel,4395.705075
optimistic_PHEV,Järfälla,123,Diesel,7070.039818
optimistic_PHEV,Huddinge,126,Diesel,7681.297471
optimistic_PHEV,Uppl. Bro,139,Diesel,3185.196368
optimistic_PHEV,Haninge,136,Diesel,7911.454613
optimistic_PHEV,Salem,128,Diesel,1251.406554
optimistic_PHEV,Botkyrka,127,Diesel,6953.67664
optimistic_PHEV,Nynäshamn,192,Diesel,2730.239914
optimistic_PHEV,Nykvarn,140,Diesel,1304.829696
optimistic_PHEV,Norrtälje,188,Diesel,7904.60619
optimistic_PHEV,Danderyd,162,PHEV,9313.013343
optimistic_PHEV,Solna,184,PHEV,32156.06644
optimistic_PHEV,Nacka,182,PHEV,32453.1173
optimistic_PHEV,Stockholm,180,PHEV,201928.0446
optimistic_PHEV,Sollentuna,163,PHEV,19481.3764
optimistic_PHEV,Täby,160,PHEV,10491.65759
optimistic_PHEV,Ekerö,125,PHEV,3429.756673
optimistic_PHEV,Lidingö,186,PHEV,6511.774588
optimistic_PHEV,Vaxholm,187,PHEV,1647.656622
optimistic_PHEV,Österåker,117,PHEV,6006.431762
optimistic_PHEV,Vallentuna,115,PHEV,4529.468593
optimistic_PHEV,Värmdö,120,PHEV,6092.234775
optimistic_PHEV,Södertälje,181,PHEV,23062.56721
optimistic_PHEV,Uppl. Väsby,114,PHEV,5486.716476
optimistic_PHEV,Tyresö,138,PHEV,5046.124168
