year,component,cartype,temperature,lower_p_bound,upper_p_bound,lambda,M_tot
2019,FC,Diesel,20,3,8,0.633506239,11.71800197
2019,FC,Gasoline,20,3,8,1.886583278,16.09216499
2019,FC,PHEV,20,3,8,2.098697801,3.800280809
2019,FC,Diesel,20,8,1000,0.624950669,40.20363624
2019,FC,Gasoline,20,8,1000,1.861986912,55.19521332
2019,FC,PHEV,20,8,1000,2.070361013,13.03474617
2019,FC_MJ,Diesel,20,0,1,1.349437991,0.068700589
2019,FC_MJ,Gasoline,20,0,1,4.020655078,0.10010016
2019,FC_MJ,PHEV,20,0,1,4.681543088,0.023639372
2019,FC_MJ,Diesel,20,1,2,0.817608694,0.206101745
2019,FC_MJ,Gasoline,20,1,2,2.234061044,0.300300479
2019,FC_MJ,PHEV,20,1,2,2.507292014,0.070918128
2019,FC_MJ,Diesel,20,2,3,0.651880741,0.359334097
2019,FC_MJ,Gasoline,20,2,3,1.940392118,0.500500798
2019,FC_MJ,PHEV,20,2,3,2.160969864,0.11819686
2019,FC_MJ,Diesel,20,3,8,0.633506312,0.503405305
2019,FC_MJ,Gasoline,20,3,8,1.886582958,0.700701177
2019,FC_MJ,PHEV,20,3,8,2.098697621,0.165475622
2019,FC_MJ,Diesel,20,8,1000,0.624950524,1.727148345
2019,FC_MJ,Gasoline,20,8,1000,1.861986879,2.403365135
2019,FC_MJ,PHEV,20,8,1000,2.070360553,0.567572057
2019,HC,Diesel,20,0,1,2.677219367,0.026243437
2019,HC,Gasoline,20,0,1,9.107533804,0.275509775
2019,HC,PHEV,20,0,1,20,0.043438211
2019,HC,Diesel,20,1,2,1.596591872,0.066307671
2019,HC,Gasoline,20,1,2,7.885486993,0.696113408
2019,HC,PHEV,20,1,2,20,0.109752648
2019,HC,Diesel,20,2,3,1.41599916,0.084123947
2019,HC,Gasoline,20,2,3,7.694205675,0.883152962
2019,HC,PHEV,20,2,3,20,0.139242187
2019,HC,Diesel,20,3,8,1.318989457,0.097981075
2019,HC,Gasoline,20,3,8,7.658444931,1.009953141
2019,HC,PHEV,20,3,8,20,0.159234121
2019,HC,Diesel,20,8,1000,1.301283585,0.146975411
2019,HC,Gasoline,20,8,1000,7.641599631,1.514585376
2019,HC,PHEV,20,8,1000,20,0.238796905
2019,NMHC,Diesel,20,0,1,2.677220384,0.025613593
2019,NMHC,Gasoline,20,0,1,9.221279666,0.259875238
2019,NMHC,PHEV,20,0,1,20,0.041062143
2019,NMHC,Diesel,20,1,2,1.596592135,0.06471628
2019,NMHC,Gasoline,20,1,2,7.999237255,0.656610727
2019,NMHC,PHEV,20,1,2,20,0.103749171
2019,NMHC,Diesel,20,2,3,1.415999401,0.082104966
2019,NMHC,Gasoline,20,2,3,7.807984598,0.833036065
2019,NMHC,PHEV,20,2,3,20,0.131625637
2019,NMHC,Diesel,20,3,8,1.318990776,0.095629534
2019,NMHC,Gasoline,20,3,8,7.772246003,0.952640593
2019,NMHC,PHEV,20,3,8,20,0.150524005
2019,NMHC,Diesel,20,8,1000,1.301282637,0.143448032
2019,NMHC,Gasoline,20,8,1000,7.755396422,1.428636074
2019,NMHC,PHEV,20,8,1000,20,0.225734711
2019,NO2,Diesel,20,0,1,0.652075379,-0.186036735
2019,NO2,Gasoline,20,0,1,1.244135065,0.010192963
2019,NO2,PHEV,20,0,1,20,0.00231574
2019,NO2,Diesel,20,1,2,0.467597105,-0.374188752
2019,NO2,Gasoline,20,1,2,0.909435698,0.020024965
2019,NO2,PHEV,20,1,2,20,0.004549472
