code,los,speed_limit,v_avg,std_v,lower_bound,upper_bound
140075,5,70,5.83501667,8.48019752,0,10.11639294
140081,1,80,72.2004672,13.6605136,65.0524147,1000
140082,2,80,57.9043622,18.0798219,48.9202957,65.0524147
140083,3,80,39.9362292,29.0985974,27.70192365,48.9202957
140084,4,80,15.4676181,24.1193678,10.79516604,27.70192365
140085,5,80,6.12271398,11.0827923,0,10.79516604
141051,1,50,41.7921511,17.9189475,37.6350595,1000
141052,2,50,33.4779679,20.6615496,27.5733093,37.6350595
141053,3,50,21.6686507,20.8376815,17.0734807,27.5733093
141054,4,50,12.4783107,15.1911807,9.156663685,17.0734807
141055,5,50,5.83501667,8.48019752,0,9.156663685
141061,1,60,48.57815,21.8268991,43.7562562,1000
141062,2,60,38.9343624,18.9186594,32.09548815,43.7562562
141063,3,60,25.2566139,20.7868999,19.83355115,32.09548815
141064,4,60,14.4104884,16.1781479,10.12275254,19.83355115
141065,5,60,5.83501667,8.48019752,0,10.12275254
141071,1,70,57.3109777,20.3467592,52.9809244,1000
141072,2,70,48.6508711,23.1363961,40.1684368,52.9809244
141073,3,70,31.6860025,25.9138238,23.04824545,40.1684368
141074,4,70,14.4104884,16.1781479,10.12275254,23.04824545
141075,5,70,5.83501667,8.48019752,0,10.12275254
141081,1,80,65.0161947,25.8846241,60.11186195,1000
141082,2,80,55.2075292,26.9281675,45.39357225,60.11186195
141083,3,80,35.5796153,27.2647548,25.24651865,45.39357225
141084,4,80,14.913422,20.5673092,10.51806799,25.24651865
141085,5,80,6.12271398,11.0827923,0,10.51806799
150031,1,30,33.6231809,14.4757363,30.0606622,1000
150032,2,30,26.4981435,15.4415153,21.79372545,30.0606622
150033,3,30,17.0893074,13.9242533,13.3516034,21.79372545
150034,4,30,9.61389939,10.9287971,7.559221975,13.3516034
150035,5,30,5.50454456,6.1650733,0,7.559221975
150041,1,40,38.3907439,15.5340215,34.5746744,1000
150042,2,40,30.7586049,16.7222904,25.89617325,34.5746744
150043,3,40,21.0337416,18.2194202,16.4255496,25.89617325
150044,4,40,11.8173576,13.6449288,8.73160936,16.4255496
150045,5,40,5.64586112,8.26792795,0,8.73160936
150051,1,50,43.8397029,13.0694142,38.43293815,1000
150052,2,50,33.0261734,17.7113383,27.88847455,38.43293815
150053,3,50,22.7507757,20.9651802,17.6145432,27.88847455
150054,4,50,12.4783107,15.1911807,9.156663685,17.6145432
150055,5,50,5.83501667,8.48019752,0,9.156663685
210081,1,80,79.0328573,6.66997105,75.0140602,1000
210082,2,80,70.9952631,8.07968084,58.8717742,75.0140602
210083,3,80,46.7482853,20.3287005,31.1079517,58.8717742
210084,4,80,15.4676181,24.1193678,10.79516604,31.1079517
210085,5,80,6.12271398,11.0827923,0,10.79516604
210091,1,90,88.4328572,6.66997132,83.9640601,1000
210092,2,90,79.495263,8.07968102,65.9512598,83.9640601
210093,3,90,52.4072566,20.5599641,35.16228205,65.9512598
210094,4,90,17.9173075,24.2868102,12.02001074,35.16228205
210095,5,90,6.12271398,11.0827923,0,12.02001074
210101,1,100,96.9328572,6.66997132,92.06406025,1000
210102,2,100,87.1952633,8.0796807,72.3736912,92.06406025
210103,3,100,57.5521191,21.6966219,37.7347133,72.3736912
210104,4,100,17.9173075,24.2868102,12.57491743,37.7347133
210105,5,100,7.23252735,16.3906557,0,12.57491743
210111,1,110,106.430287,6.51167501,101.1110245,1000
210112,2,110,95.791762,10.2390149,79.568941,101.1110245
210113,3,110,63.34612,20.1812291,40.63171375,79.568941
210114,4,110,17.9173075,24.2868102,12.57491743,40.63171375
210115,5,110,7.23252735,16.3906557,0,12.57491743
210121,1,120,115.930287,6.51167501,110.1110245,1000
210122,2,120,104.291762,10.2390148,86.0695708,110.1110245
210123,3,120,67.8473796,22.6487715,42.88234355,86.0695708
210124,4,120,17.9173075,24.2868102,12.57491743,42.88234355
210125,5,120,7.23252735,16.3906557,0,12.57491743
210131,1,130,126.030287,6.51167501,119.0610245,1000
210132,2,130,112.091762,10.2390152,92.4962437,119.0610245
210133,3,130,72.9007254,23.6796885,45.40901645,92.4962437
210134,4,130,17.9173075,24.2868102,12.57491743,45.40901645
210135,5,130,7.23252735,16.3906557,0,12.57491743
211061,1,60,62.732857,6.66997106,59.59749405,1000
211062,2,60,56.4621311,8.50961436,46.6601547,59.59749405
211063,3,60,36.8581783,20.5798169,25.064095,46.6601547
211064,4,60,13.2700117,16.4177966,9.552514185,25.064095
211065,5,60,5.83501667,8.48019752,0,9.552514185
211071,1,70,69.4328572,6.6699713,65.94749415,1000
211072,2,70,62.4621311,8.50961438,51.96263675,65.94749415
211073,3,70,41.4631424,23.8930812,27.9304558,51.96263675
211074,4,70,14.3977692,18.657522,10.11639294,27.9304558
211075,5,70,5.83501667,8.48019752,0,10.11639294
211081,1,80,79.0328573,6.66997105,75.0140602,1000
211082,2,80,70.9952631,8.07968084,58.3035056,75.0140602
211083,3,80,45.6117481,20.5322232,30.5396831,58.3035056
211084,4,80,15.4676181,24.1193678,10.79516604,30.5396831
211085,5,80,6.12271398,11.0827923,0,10.79516604
211091,1,90,88.4328572,6.66997132,83.9640601,1000
211092,2,90,79.495263,8.07968102,65.3191109,83.9640601
211093,3,90,51.1429588,20.5232886,34.53013315,65.3191109
211094,4,90,17.9173075,24.2868102,12.02001074,34.53013315
211095,5,90,6.12271398,11.0827923,0,12.02001074
211101,1,100,96.9328572,6.66997132,92.06406025,1000
211102,2,100,87.1952633,8.0796807,71.7254109,92.06406025
211103,3,100,56.2555585,21.6881609,37.086433,71.7254109
211104,4,100,17.9173075,24.2868102,12.57491743,37.086433
211105,5,100,7.23252735,16.3906557,0,12.57491743
211111,1,110,106.430287,6.51167501,101.1110245,1000
211112,2,110,95.791762,10.2390149,78.75688245,101.1110245
211113,3,110,61.7220029,21.9839278,39.8196552,78.75688245
211114,4,110,17.9173075,24.2868102,12.57491743,39.8196552
211115,5,110,7.23252735,16.3906557,0,12.57491743
220071,1,70,65.7726955,17.8061186,60.18768865,1000
220072,2,70,54.6026818,21.081032,45.5703091,60.18768865
220073,3,70,36.5379364,25.901017,25.4678528,45.5703091
220074,4,70,14.3977692,18.657522,10.11639294,25.4678528
220075,5,70,5.83501667,8.48019752,0,10.11639294
220081,1,80,74.4004671,13.6605136,68.8383454,1000
220082,2,80,63.2762237,17.4021761,53.0086798,68.8383454
220083,3,80,42.7411359,27.0374812,29.104377,53.0086798
220084,4,80,15.4676181,24.1193678,10.79516604,29.104377
220085,5,80,6.12271398,11.0827923,0,10.79516604
220091,1,90,86.2868785,12.3966689,79.8265507,1000
220092,2,90,73.3662229,14.2878228,60.8317706,79.8265507
220093,3,90,48.2973183,24.0951942,31.8824682,60.8317706
220094,4,90,15.4676181,24.1193678,10.79516604,31.8824682
220095,5,90,6.12271398,11.0827923,0,10.79516604
220101,1,100,95.0888728,14.3931962,87.92754785,1000
220102,2,100,80.7662229,14.2878227,66.63515595,87.92754785
220103,3,100,52.504089,24.9129137,35.21069825,66.63515595
220104,4,100,17.9173075,24.2868102,12.57491743,35.21069825
220105,5,100,7.23252735,16.3906557,0,12.57491743
220111,1,110,103.044172,13.0076499,95.50519735,1000
220112,2,110,87.9662227,14.2878227,72.6097174,95.50519735
220113,3,110,57.2532121,23.6549527,37.5852598,72.6097174
220114,4,110,17.9173075,24.2868102,12.57491743,37.5852598
220115,5,110,7.23252735,16.3906557,0,12.57491743
221051,1,50,49.2146486,16.4622157,43.4024341,1000
221052,2,50,37.5902196,18.4778275,30.99550605,43.4024341
221053,3,50,24.4007925,16.7579653,18.4395516,30.99550605
221054,4,50,12.4783107,15.1911807,9.156663685,18.4395516
221055,5,50,5.83501667,8.48019752,0,9.156663685
221061,1,60,57.1577764,20.4320994,52.14564705,1000
221062,2,60,47.1335177,20.4706224,38.38458165,52.14564705
221063,3,60,29.6356456,22.7546012,21.05697815,38.38458165
221064,4,60,12.4783107,15.1911807,9.156663685,21.05697815
221065,5,60,5.83501667,8.48019752,0,9.156663685
221071,1,70,65.7726955,17.8061186,60.18768865,1000
221072,2,70,54.6026818,21.081032,45.2325528,60.18768865
221073,3,70,35.8624238,26.0443341,25.1300965,45.2325528
221074,4,70,14.3977692,18.657522,10.11639294,25.1300965
221075,5,70,5.83501667,8.48019752,0,10.11639294
221081,1,80,74.4004671,13.6605136,68.8383454,1000
221082,2,80,63.2762237,17.4021761,52.62643365,68.8383454
221083,3,80,41.9766436,26.9816442,28.72213085,52.62643365
221084,4,80,15.4676181,24.1193678,10.79516604,28.72213085
221085,5,80,6.12271398,11.0827923,0,10.79516604
221091,1,90,86.2868785,12.3966689,79.8265507,1000
221092,2,90,73.3662229,14.2878228,60.4317706,79.8265507
221093,3,90,47.4973183,24.0951942,31.4824682,60.4317706
221094,4,90,15.4676181,24.1193678,10.79516604,31.4824682
221095,5,90,6.12271398,11.0827923,0,10.79516604
230031,1,30,30.9653305,9.06107326,27.90450605,1000
230032,2,30,24.8436816,10.0818294,20.4806698,27.90450605
